ProcessID=2 : Parent_ProcessID=0 : Average_Running_Time=.03651681917808219178
ProcessID=1038 : Parent_ProcessID=1 : Average_Running_Time=2.26528555263157894736
ProcessID=1095 : Parent_ProcessID=1 : Average_Running_Time=.39875946511627906976
ProcessID=1131 : Parent_ProcessID=1 : Average_Running_Time=.16634524742268041237
ProcessID=1163 : Parent_ProcessID=1 : Average_Running_Time=.84163770744010088272
ProcessID=1190 : Parent_ProcessID=1 : Average_Running_Time=.08627219151756129887
ProcessID=1197 : Parent_ProcessID=1 : Average_Running_Time=.24798453864353312302
ProcessID=1207 : Parent_ProcessID=1 : Average_Running_Time=.13915107142857142857
ProcessID=1220 : Parent_ProcessID=1 : Average_Running_Time=.64153043859649122807
ProcessID=1589 : Parent_ProcessID=1 : Average_Running_Time=.11022601259132597543
ProcessID=1803 : Parent_ProcessID=1 : Average_Running_Time=.38416944656488549618
ProcessID=1945 : Parent_ProcessID=1 : Average_Running_Time=7.32546474603174603174
ProcessID=2270 : Parent_ProcessID=1 : Average_Running_Time=.45775033333333333333
ProcessID=2272 : Parent_ProcessID=1 : Average_Running_Time=.09416293004115226337
ProcessID=525 : Parent_ProcessID=1 : Average_Running_Time=.01949278106913884841
ProcessID=557 : Parent_ProcessID=1 : Average_Running_Time=.53711967782426778242
ProcessID=890 : Parent_ProcessID=1 : Average_Running_Time=.24586540434192672998
ProcessID=891 : Parent_ProcessID=1 : Average_Running_Time=.62429501136363636363
ProcessID=957 : Parent_ProcessID=1 : Average_Running_Time=.18673257575757575757
ProcessID=958 : Parent_ProcessID=1 : Average_Running_Time=.13597538938848920863
ProcessID=960 : Parent_ProcessID=1 : Average_Running_Time=.08947703076923076923
ProcessID=962 : Parent_ProcessID=1 : Average_Running_Time=.18343813725490196078
ProcessID=963 : Parent_ProcessID=1 : Average_Running_Time=.12829186538461538461
ProcessID=965 : Parent_ProcessID=1 : Average_Running_Time=.44521773416038989809
ProcessID=966 : Parent_ProcessID=1 : Average_Running_Time=.23180829837398373983
ProcessID=972 : Parent_ProcessID=1 : Average_Running_Time=.96797070656370656370
ProcessID=977 : Parent_ProcessID=1 : Average_Running_Time=.29815254716981132075
ProcessID=980 : Parent_ProcessID=1 : Average_Running_Time=.19206899894235854045
ProcessID=981 : Parent_ProcessID=1 : Average_Running_Time=.05957696875000000000
ProcessID=983 : Parent_ProcessID=1 : Average_Running_Time=.12379707894736842105
ProcessID=985 : Parent_ProcessID=1 : Average_Running_Time=1.11050545227272727272
ProcessID=986 : Parent_ProcessID=1 : Average_Running_Time=.97041896153846153846
ProcessID=987 : Parent_ProcessID=1 : Average_Running_Time=.49437275555555555555
ProcessID=988 : Parent_ProcessID=1 : Average_Running_Time=.12832225000000000000
ProcessID=989 : Parent_ProcessID=1 : Average_Running_Time=.09636339573229873908
ProcessID=990 : Parent_ProcessID=1 : Average_Running_Time=.14018697142857142857
ProcessID=994 : Parent_ProcessID=1 : Average_Running_Time=.26732230081300813008
ProcessID=997 : Parent_ProcessID=1 : Average_Running_Time=.36823530193387398627
ProcessID=10 : Parent_ProcessID=2 : Average_Running_Time=.00054750000000000000
ProcessID=11 : Parent_ProcessID=2 : Average_Running_Time=.00044450000000000000
ProcessID=116 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=117 : Parent_ProcessID=2 : Average_Running_Time=.00032450000000000000
ProcessID=118 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=119 : Parent_ProcessID=2 : Average_Running_Time=.00264500000000000000
ProcessID=120 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=121 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=12 : Parent_ProcessID=2 : Average_Running_Time=.01441082006920415224
ProcessID=122 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=123 : Parent_ProcessID=2 : Average_Running_Time=0
ProcessID=125 : Parent_ProcessID=2 : Average_Running_Time=.00064800000000000000
ProcessID=12590 : Parent_ProcessID=2 : Average_Running_Time=.00300533333333333333
ProcessID=128 : Parent_ProcessID=2 : Average_Running_Time=.01365179730745575070
ProcessID=130 : Parent_ProcessID=2 : Average_Running_Time=.00437177777777777777
ProcessID=131 : Parent_ProcessID=2 : Average_Running_Time=.00177000000000000000
ProcessID=13 : Parent_ProcessID=2 : Average_Running_Time=.01676036970258157709
ProcessID=133 : Parent_ProcessID=2 : Average_Running_Time=.00195500000000000000
ProcessID=134 : Parent_ProcessID=2 : Average_Running_Time=.00282400000000000000
ProcessID=135 : Parent_ProcessID=2 : Average_Running_Time=.00160166666666666666
ProcessID=1352 : Parent_ProcessID=2 : Average_Running_Time=.00622200000000000000
ProcessID=136 : Parent_ProcessID=2 : Average_Running_Time=.00180566666666666666
ProcessID=137 : Parent_ProcessID=2 : Average_Running_Time=.00179800000000000000
ProcessID=138 : Parent_ProcessID=2 : Average_Running_Time=.00200700000000000000
